"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"HIDE AWAY CAMPGROUND","","","","137","Ground water","525 SHULER RD LOT 18
BRYSON CITY, NC 28713","828-488-2083","",""
"HIGGINS FWB CHURCH","","","","85","Ground water","99 HAWKVIEW DR
BURNSVILLE, NC 28714","","",""
"HIGGINS LODGE","","","","25","Ground water","124 PENDRY DR
LAUREL SPRINGS, NC 28644","336-359-2951","",""
"HIGH GROVE S/D","","","","371","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HIGH HAMPTON INN/COUNTRY CLUB","","","","561","Ground water","PO BOX 338
1525 HWY 107 SOUTH
CASHIERS, NC 28717","828-743-5979","",""
"HIGH MEADOWS S/D","","","","320","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HIGH MEADOWS S/D","","","","590","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"HIGH PASTURES","","","","50","Ground water","290 KINGS HIGHWAY
BURNSVILLE, NC 28714","828-682-3138","",""
"HIGH PASTURES - LAUREL LODGE","","","","50","Ground water","290 KINGS HIGHWAY
BURNSVILLE, NC 28714","828-682-3138","",""
"HIGH PINE WESLEYAN CHURCH","","","","25","Ground water","6372 HIGH PINE CHURCH RD
ASHEBORO, NC 27205","336-381-3608","",""
"HIGH POINT, CITY OF","","","","112,201","Surface water","PO BOX 230
HIGH POINT, NC 27261","336-883-3166","",""
"HIGH ROCK BOAT & SKI CLUB","","","","50","Ground water","257 BOAT CLUB LN
SALISBURY, NC 28146","704-633-0251","",""
"HIGH SHOALS, CITY OF","","","","572","Surface water purchased","PO BOX 6
HIGH SHOALS, NC 28077","704-735-1651","",""
"HIGH VISTA ESTATES","","","","738","Surface water purchased","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"HIGHER GROUND CHURCH OF GOD","","","","40","Ground water","PO BOX 7
PINELOA, NC 28662","828-733-0583","",""
"HIGHFALLS UNITED METH CHURCH","","","","50","Ground water","1300 HWY 22
PO BOX 2
HIGH FALLS, NC 27259","910-464-3295","",""
"HIGHGATE S/D","","","","62","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"HIGHLAND BAPTIST CHURCH","","","","375","Ground water","8524 CROWDER RD
RALEIGH, NC 27603","919-779-8778","",""
"HIGHLANDS COVE S/D","","","","396","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"HIGHLANDS FALLS COUNTRY CLUB","","","","650","Ground water","91 FALLS DRIVE WEST
HIGHLANDS, NC 28741","828-526-2203","",""
"HIGHLANDS, TOWN OF","","","","6,510","Surface water","PO BOX 460
HIGHLANDS, NC 28741","828-526-2185","",""
"HIGHTOWER BAPTIST CHURCH","","","","25","Ground water","634 HIGHTOWER RD
BRYSON CITY, NC 28713","","",""
"HIGHWAY 161 FLEA MARKET","","","","25","Ground water","3424 OLD CHURCH RD
GASTONIA, NC 28052","704-867-0297","",""
"HILCO TRANSPORT INC","","","","75","Ground water","7700 KENMONT DR
GREENSBORO, NC 27409","336-273-9441","",""
"HILL FOREST SUMMER CAMP","","","","50","Ground water","PO BOX 8008
RALEIGH, NC 27695","919-515-3988","",""
"HILL KING METHODIST CHURCH","","","","50","Ground water","65 E.F. COTTRELL ROAD
LOUISBURG, NC 27549","","",""
"HILL TOP MHP","","","","70","Ground water","PO BOX 1299
HILLSBOROUGH, NC 27278","919-906-5757","",""
"HILL-N-DALE-LINCOLN VIEW S/D","","","","338","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HILLBILLY HIDE AWAY","","","","250","Ground water","4335 PINE HALL
WALNUT COVE, NC 27052","336-591-4861","",""
"HILLCREST-SCURLOCK WATER INC","","","","1,369","Ground water","PO BOX 1536
RAEFORD, NC 28376","910-875-7942","",""
"HILLCREST/MCBRIDE HEIGHTS S/D","","","","493","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HILLINGTON WEST S/D","","","","382","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HILLS GROVE BAPTIST CHURCH","","","","50","Ground water","1512 PILOT POWER DAM RD
PILOT MOUNTAIN, NC 27041","","",""
"HILLSBORO S/D","","","","170","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HILLSBOROUGH BUSINESS SYSTEMS","","","","25","Ground water","1510 HWY 86 NORTH
HILLSBOROUGH, NC 27278","919-732-2101","",""
"HILLSBOROUGH UCC","","","","50","Ground water","200 DAVIS RD
HILLSBOROUGH, NC 27278","919-732-9183","",""
"HILLSBOROUGH, TOWN OF","","","","15,000","Surface water","711 DIMMOCKS MILL ROAD
HILLSBOROUGH, NC 27278","919-732-3621","",""
"HILLSDALE VILLAGE","","","","33","Ground water","3500 CAMDEN FALLS CIRCLE
GREENSBORO, NC 27410","336-580-5977","",""
"HILLSIDE FOODMART","","","","25","Ground water","1644 BEVERLY LN
LINCOLTON, NC 28092","704-435-0091","",""
"HILL`S STORE","","","","25","Ground water","5024 64 WEST
HAYESVILLE, NC 28904","828-389-9500","",""
"HINTON RURAL LIFE CENTER INC","","","","120","Ground water","PO BOX 27
HAYESVILLE, NC 28904","828-389-8336","",""
"HIRSCHFELD INDUSTRIES BRIDGE","","","","150","Ground water","PO BOX 208
COLFAX, NC 27235","336-993-2680","",""
"HIRSCHFELD INDUSTRIES BRIDGE","","","","43","Ground water","341 CORBETT RD
NASHVILLE, NC 27856","252-459-7116","",""
"HITCHING POST RV PARK-CAMPGRD","","","","30","Ground water","147 HITCHNING POST TRAIL
DEEP GAP, NC 28618","828-264-5367","",""
"HIWASSEE DAM SCHOOL","","","","470","Ground water","911 ANDREWS RD
MURHPY, NC 28906","828-837-2722","",""
"HOBGOOD, TOWN OF","","","","678","Ground water","PO BOX 217
HOBGOOD, NC 27843","252-826-4573","",""
"HOCUTT FARMS MLC #2","","","","30","Ground water","8507 BAILEY RD
SIMS, NC 27880","","",""
"HOCUTT FARMS MLC #3","","","","60","Ground water","8507 BAILEY RD
SIMS, NC 27880","252-235-0100","",""
"HOKE CO HOLINESS CHURCH","","","","100","Ground water","2225 BLUE SPRINGS RD
RED SPRINGS, NC 28377","910-843-2039","",""
"HOKE CO REGIONAL WATER SYSTEM","<a href=""javascript:popURL('http://www.hokecounty.net/utils/2011ccr.pdf');"">http://www.hokecounty.net/utils/2011ccr.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.hokecounty.net/county-departments/utilities/');"">http://www.hokecounty.net/county-departments/utilities/</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","24,193","Ground water","PO BOX 240
RAEFORD, NC 28376","910-848-0385","",""
"HOKE CO REGIONAL--ROCKFISH","<a href=""javascript:popURL('http://www.hokecounty.net/utils/2011ccr.pdf');"">http://www.hokecounty.net/utils/2011ccr.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.hokecounty.net/county-departments/utilities/');"">http://www.hokecounty.net/county-departments/utilities/</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","6,358","Surface water purchased","PO BOX 240
RAEFORD, NC 28376","910-848-0385","",""
"HOKE LANDING S/D","","","","93","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HOLDEN BEACH, TOWN OF","","","","6,200","Surface water purchased","110 ROTHSCHILD ST
HOLDEN BEACH, NC 28462-5037","910-842-6488","",""
"HOLIDAY HILLS WTR SYSTEM","","","","132","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOLIDAY MOTEL","","","","30","Ground water","3000 S WESLEYAN BLVD
ROCKY MOUNT, NC 27803-8852","252-442-1187","",""
"HOLIDAY MOTEL & RESTAURANT","","","","200","Ground water","2119 JAMES B WHITE HWY
WHITEVILLE, NC 28472","910-642-5162","",""
"HOLLAND CHAPEL AME ZION CHURCH","","","","150","Ground water","360 BURGESS ROAD
APEX, NC 27523","919-362-7831","",""
"HOLLAND DOWNS S/D","","","","50","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HOLLAND MASTER SYSTEM","","","","320","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HOLLAND UMC","","","","1,000","Ground water","9433 Ten Ten Road
RALEIGH, NC 27603","919-772-5294","",""
"HOLLAND UMC ANNEX","","","","1,000","Ground water","4216 LANDSBURG DRIVE
RALEIGH, NC 27603","919-971-5069","",""
"HOLLANDS CHAPEL PENT HOLINESS","","","","75","Ground water","4050 SALEMBURG HWY N
SALEMBURG, NC 28385","910-564-2708","",""
"HOLLAND`S SHELTER CREEK INC","","","","65","Ground water","8315 HWY 53 EAST
BURGAW, NC 28425","910-259-5743","",""
"HOLLOW ROCK RACQUET&SWIM CLUB","","","","50","Ground water","5100 ERWIN RD
DURHAM, NC 27707","919-489-1550","",""
"HOLLOWS WATER SYSTEM (THE)","","","","378","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOLLY ACRES","","","","137","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"HOLLY BLUFF FAMILY CAMPGROUNDS","","","","25","Ground water","4846 NC HWY 49 SOUTH
ASHEBORO, NC 27205","","",""
"HOLLY COVE CAMPGROUND","","","","157","Ground water","341 HOLLY COVE RD
WHITTIER, NC 28789","828-631-0692","",""
"HOLLY FAYE MHP","","","","60","Ground water","PO BOX 670
PINEVILLE, NC 28134","704-815-3767","",""
"HOLLY GROVE BAPTIST CHURCH","","","","125","Ground water","997 HOLLY RD
SPRING HOPE, NC 27882","252-977-5780","",""
"HOLLY HILLS S/D","","","","38","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOLLY HILLS S/D","","","","120","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOLLY MOUNT BAPTIST CHURCH","","","","55","Ground water","271 BREWER FARM RD
MT GILEAD, NC 27306","","",""
"HOLLY RIDGE FAMILY CAMPGROUND","","","","185","Ground water","5140 RIVER RD
BOONVILLE, NC 27011","336-367-7756","",""
"HOLLY RIDGE GOLF LINKS","","","","25","Ground water","PO BOX 70
SOPHIA, NC 27350","336-861-4555","",""
"HOLLY SPRING FRIENDS MEETING","","","","25","Ground water","2938 HOLLY SPRING RD
RAMSEUR, NC 27316","336-672-0892","",""
"HOLLY SPRINGS BAPTIST CHURCH","","","","350","Ground water","1038 MILL CREEK RD
FRANKLIN, NC 28734","828-524-5564","",""
"HOLLY SPRINGS BAPTIST CHURCH","","","","65","Ground water","10 LEDFORD RD
BRYSON CITY, NC 28713","","",""
"HOLLY SPRINGS FWB CHURCH","","","","140","Ground water","PO BOX 279
NEWPORT, NC 28570","252-223-4900","",""
"HOLLY SPRINGS, TOWN OF","","","","35,600","Surface water purchased","PO BOX 8
HOLLY SPRINGS, NC 27540","919-552-5920","",""
"HOLLY TREE S/D","","","","95","Surface water purchased","PO BOX 519
MOUNTAIN HOME, NC 28758","","",""
"HOLLY TREE VILLAGE","","","","135","Ground water","PO BOX 160
HAW RIVER, NC 27258","336-578-2714","",""
"HOLLY`S CHAPEL PENT HOLINESS","","","","25","Ground water","8003 FERGUSON RD
RAMSEUR, NC 27316","336-622-1484","",""
"HOLMES EDUCATIONAL FOREST CAMP","","","","100","Ground water","1299 CRABCREEK RD
HENDERSONVILLE, NC 28739","828-692-0100","",""
"HOLMES EDUCATIONAL FOREST OFFICE","","","","100","Ground water","1299 CRABCREEK RD
HENDERSONVILLE, NC 28739","828-692-0100","",""
"HOLSTON PRESBYTERIAN CAMP","","","","50","Ground water","PO BOX 428
BANNER ELK, NC 28604","828-898-6611","",""
"HOLY CROSS MISSIONARY BAPT CH","","","","60","Ground water","210 SOUTHERN ROAD
MT AIRY, NC 27030","336-719-5000","",""
"HOLY TEMPLE CHURCH OF GOD IN CHRIST","","","","70","Ground water","6585 OLD ROXBORO RD
OXFORD, NC 27565","919-690-1283","",""
"HOLY TEMPLE HOLINESS CHURCH","","","","40","Ground water","PO BOX 205
STEDMAN, NC 28391","910-229-2444","",""
"HOMEPLACE RECREATIONAL PARK","","","","358","Ground water","258 HOMEPLACE PARK RD
ARARAT, NC 27007","336-374-5173","",""
"HOMESTEAD MHP","","","","25","Ground water","PO Box 685
DURHAM, NC 27702","","",""
"HOMESTEAD MHP  NO 2","","","","200","Ground water","3100 S. MEMORIAL DR
GREENVILLE, NC 27833","","",""
"HOMESTEAD MOBILE VILLAGE","","","","77","Ground water","932 HENDERSONVILLE ROAD
SUITE 201
ASHEVILLE, NC 28803","828-274-4009","",""
"HOMESTEAD PARK S/D","","","","137","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOMESTEAD S/D","","","","51","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOMESTEAD S/D WATER SYSTEM","","","","386","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOMESTEAD STEAK HOUSE & RESTAU","","","","25","Ground water","PO BOX 83
TIMBERLAKE, NC 27583","336-364-8506","",""
"HOMESTEAD-FESTIVAL HOUSE","","","","25","Ground water","PO BOX 83
TIMBERLAKE, NC 27583","336-364-8506","",""
"HOMEWOOD NURSERY","","","","50","Ground water","10809 HONEYCUTT RD
RALEIGH, NC 27614","919-847-0117","",""
"HONEYBEAR CAMPGROUND SECTION  C&D","","","","62","Ground water","229 HONEYBEAR CAMPGROUND ROAD
BOONE, NC 28607","828-963-4586","",""
"HONEYBEAR CAMPGROUND SECTION A&B","","","","60","Ground water","229 HONEYBEAR CAMPGROUND ROAD
BOONE, NC 28607","828-963-4586","",""
"HONEYCUTT LANDING S/D","","","","145","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HONEYCUTT PARK","","","","25","Ground water","222 WEST HARGETT STREET
ATTN: CHAD BOUFFIOU
RALEIGH, NC 27601","919-996-3285","",""
"HONEYS BANK & PHARMACY","","","","25","Ground water","9580 HWY 10 WEST
VALE, NC 28168","704-462-2887","",""
"HONEY`S SUPERMARKET","","","","60","Ground water","9580 HWY 10 WEST
VALE, NC 28168","704-462-2887","",""
"HOOKERTON, TOWN OF","","","","409","Ground water","PO BOX 296
HOOKERTON, NC 28538","252-747-3816","",""
"HOOPERS CREEK BAPTIST CHURCH","","","","120","Ground water","PO BOX 1856
FLETCHER, NC 28732","","",""
"HOOPERS VALLEY ESTATES","","","","220","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOPE 2ND ADVENT CHRISTIAN CH","","","","25","Ground water","4121 SIKES MILL RD
MONROE, NC 28110","704-753-1466","",""
"HOPE COMMUNITY FELLOWSHIP","","","","30","Ground water","2480 CIMARRON CIRCLE
MIDLAND, NC 28107","","",""
"HOPEWELL AME ZION CHURCH","","","","60","Ground water","11333 BEATTIES FORD RD
HUNTERSVILLE, NC 28078","704-875-9486","",""
"HOPEWELL BAPTIST CHURCH","","","","25","Ground water","420 HOPEWELL CHURCH RD
MONROE, NC 28110","704-753-1084","",""
"HOPEWELL CHURCH","","","","80","Ground water","2347 MT PLESANT CHURCH RD
SHERRILLS FORD, NC 28673","828-478-9625","",""
"HOPSON DOWNS S/D","","","","277","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HOPSON`S STORE","","","","99","Ground water","9619 HWY 226 N
BAKERSVILLE, NC 28705","828-688-4251","",""
"HORNE CREEK FARM","","","","25","Ground water","308 HORNE CREEK FARM RD
PINNACLE, NC 27043","336-325-2298","",""
"HORSE COVE","","","","25","Ground water","1070 MASSEY BRANCH RD
ROBBINSVILLE, NC 28771","828-479-6431","",""
"HORSEFEATHERS TRADING POST","","","","25","Ground water","PO BOX 1507
HUNTERSVILLE, NC 28070","704-966-0192","",""
"HORSESHOE BEND CAMPGROUND","","","","64","Ground water","PO BOX 1454
MORGANTON, NC 28655","","",""
"HORSESHOE FARMS NATURE PRESERVE","","","","25","Ground water","222 WEST HARGETT STREET
ATTN: CHAD BOUFFIOU
RALEIGH, NC 27601","919-996-3285","",""
"HORSESHOE MOBILE ESTATES","","","","255","Ground water","1284 WINDY RIDGE ROAD
CHAPEL HILL, NC 27517","919-545-0630","",""
"HOSPICE OF YANCEY COUNTY","","","","35","Ground water","856 GEORGES FORK RD
BURNSVILLE, NC 28714","828-682-9675","",""
"HOT SPRINGS, TOWN OF","","","","640","Ground water","PO BOX 218
HOT SPRINGS, NC 28743","828-622-7591","",""
"HOTDOG KING","","","","100","Ground water","PO BOX 447
CANDLER, NC 28715","828-670-1199","",""
"HOUGHTON DEVELOPMENT INC","","","","100","Ground water","6425 MOTTS VILLAGE RD
WILMINGTON, NC 28412","","",""
"HOUND EARS WATER SYSTEM","","","","990","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"HOUSE IN THE HORSESHOE","","","","50","Ground water","288 ALSTON HOUSE RD
SANFORD, NC 27330","910-947-2051","",""
"HOUSE OF PRAYER","","","","25","Ground water","125 LOCUS COVE RD
ROBBINSVILLE, NC 28771","","",""
"HOUSE OF RAEFORD","","","","600","Ground water","PO BOX 40
ROSE HILL, NC 28458","","",""
"HOUSE OF RAEFORD--WALLACE","","","","625","Ground water","253 BUTTERBALL ROAD
HOUSE OF RAEFORD
TEACHEY, NC 28464","910-285-2349","",""
"HOUSEHOLD OF FAITH","","","","100","Ground water","468 N PLYMOUTH ST
FAYETTEVILLE, NC 28312","910-483-8942","",""
"HOUSTON HOUSE REST HOME","","","","40","Ground water","PO BOX 706
GLEN ALPINE, NC 28628","828-584-6811","",""
"HOUSTON RD BAPTIST CHURCH","","","","100","Ground water","134 NARROWAY LN
TROUTMAN, NC 28166","704-528-4530","",""
"HOVIS RD W/S","","","","31","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HOYLE`S CREEK MHP","","","","147","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUDSON CHAPEL BAPTIST CHURCH","","","","50","Ground water","6474 HUDSON CHAPEL RD
CATAWBA, NC 28609","","",""
"HUDSON MEADOWS S/D","","","","122","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HULDAH BAPTIST CHURCH","","","","40","Ground water","2039 FRANK RD
ASHEBORO, NC 27205","336-381-3497","",""
"HUMPBACK MOUNTAIN","","","","25","Ground water","163 WALTER CIRCLE
SPRUCE PINE, NC 28777","","",""
"HUMPHREYS RIDGE  CAMPGROUND NO 3","","","","50","Ground water","PO BOX 530
STOKESDALE, NC 27357","336-427-3949","",""
"HUMPHREYS RIDGE CAMPGROUND NO 2","","","","33","Ground water","PO BOX 530
STOKESDALE, NC 27357","336-427-3949","",""
"HUMPHREY`S GRILL","","","","25","Ground water","PO BOX 530
STOKESDALE, NC 27357","336-427-3949","",""
"HUMPHREY`S RIDGE CAMPGRD  NO 1","","","","100","Ground water","PO BOX 530
STOKESDALE, NC 27357","336-427-3949","",""
"HUNGRY FARMER RESTAURANT","","","","50","Ground water","PO BOX 2464
ATTN DEAN PAGE
CLINTON, NC 28329","910-533-3220","",""
"HUNT FARMS S/D","","","","88","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HUNTCLIFF S/D","","","","259","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUNTDELL S/D","","","","149","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HUNTER`S RIDGE S/D","","","","92","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"HUNTING CREEK BAPTIST CHURCH","","","","25","Ground water","10511 STATESVILLE RD
N WILKESBORO, NC 28659","","",""
"HUNTING CREEK S/D","","","","61","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUNTING ESTATES","","","","80","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"HUNTING RIDGE S/D","","","","58","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUNTINGTON FOREST S/D","","","","201","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"HUNTINGTON WOODS MHP","","","","183","Ground water","4 SCHINDLER COURT
BOONTON TOWNSHIP, NJ 07005","","",""
"HUNTLEY GLEN TOWNHOMES","","","","91","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUNTSVILLE BAPTIST CHURCH","","","","200","Ground water","6169 HWY 96 NORTH
OXFORD, NC 27565","","",""
"HUNTSVILLE BAPTIST CHURCH","","","","25","Ground water","4849 COURTNEY HUTSVILLE RD
YADKINVILLE, NC 27055","","",""
"HUNTSVILLE COMMUNITY CENTER","","","","25","Ground water","1151 SARDIS CHURCH ROAD
MADISON, NC 27025","336-427-5206","",""
"HUNTWOOD MHP","","","","213","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"HUNT`S MHP","","","","162","Ground water","4509 WATKINS RD
RALEIGH, NC 27616","","",""
"HURDLE MILLS MARKET","","","","30","Ground water","3191 GELA RD
OXFORD, NC 27565","919-691-1056","",""
"HURRICANE RIDGE","","","","35","Ground water","1517 HURRICANE RIDGE TRACE
CLYDE, NC 28721","","",""
"HUSKINS COURT","","","","35","Ground water","PO BOX 86
PINEOLA, NC 28662","828-733-2564","",""
"HWY 10 AUCTION","","","","25","Ground water","6185 DEKALB DRIVE
CONNELLY SPRINGS, NC 28612","","",""
"HWY 421 PROPERTIES LLC A","","","","25","Ground water","702 OBERLIN RD
SUITE 400
RALEIGH, NC 27605","919-582-3124","",""
"HWY 421 PROPERTIES LLC B","","","","25","Ground water","702 OBERLIN RD
SUITE 400
RALEIGH, NC 27605","919-582-3124","",""
"HWY 49 NORTH PATEL","","","","25","Ground water","2668 HWY 49 N
BURLINGTON, NC 27217","336-578-2999","",""
"HWY 50 BOAT LAUNCH & REC AREA","","","","25","Ground water","13304 CREEDMOOR RD.
WAKE FOREST, NC 27587","919-676-1027","",""
"HYCO MARINA","","","","50","Ground water","4817 NORTH CAROLINA HWY 54
GRAHAM, NC 27253","336-214-6333","",""
"HYDE COUNTY WATER SYSTEM","","","","5,256","Ground water","PO BOX 66
SWAN QUARTER, NC 27885","252-926-4460","",""
"HYDER`S KOUNTRY KUBBARD INC","","","","50","Ground water","8917 BOYLSTON HWY
MILLS RIVER, NC 28759","828-891-2944","",""
"HYLAND HILLS RESORT","","","","100","Ground water","130 FAIRWAY AVE
SOUTHERN PINES, NC 28387-3542","","",""
"I 140 BUSINESS CENTER BLDG #A","","","","50","Ground water","3807 PEACHTREE AVE
SUITE 200
WILMINGTON, NC 28403","910-395-6036","",""
"I 140 BUSINESS CENTER BLDG #C","","","","50","Ground water","3807 PEACHTREE AVE
SUITE 200
WILMINGTON, NC 28403","910-395-6036","",""
"I 140 BUSINESS CENTER BLDG #D","","","","50","Ground water","3807 PEACHTREE AVE
SUITE 200
WILMINGTON, NC 28403","910-395-6036","",""
"I 140 BUSINESS CENTER BLDG E","","","","50","Ground water","3807 PEACHTREE AVE
SUITE 200
WILMINGTON, NC 28403","910-395-6036","",""
"ICARD TOWNSHIP WATER CORP","","","","7,821","Surface water purchased","PO BOX 427
HILDEBRAN, NC 28637","828-397-6294","",""
"ICTHUS MINISTRIES","","","","40","Ground water","2068 DEEP GAP RD
BRYSON CITY, NC 28713","828-488-6664","",""
"IDLEWILD PARK","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"IDLEWOOD ACRES WATER SYSTEM","","","","66","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"IGLESIA BAUTISTA AGUA VIVA","","","","120","Ground water","4017 CHIMNEY ROCK RD
PO BOX 119
EDNEYVILLE, NC 28727","828-606-5263","",""
"IGLESIA BAUTISTA EMANUEL","","","","25","Ground water","PO BOX 341
LANDIS, NC 28088","","",""
"IGLESIA DE DIOS HISPANA CHURCH","","","","80","Ground water","PO BOX 1879
LINCOLNTON, NC 28092","","",""
"IHM","","","","25","Ground water","3700 HWY 421 N.
WILMINGTON, NC 28401","910-378-7610","",""
"IHRIE SUPPLY COMPANY","","","","30","Ground water","PO BOX 1587
MOREHEAD CITY, NC 28557","252-247-4948","",""
"ILONG BAPTIST CHURCH","","","","250","Ground water","3191 GELA RD
OXFORD, NC 27565","919-691-1056","",""
"IMAGE CHURCH","","","","400","Ground water","4017 WEDDINGTON RD
MATTHEWS, NC 28105","704-844-8733","",""
"IMMANUEL BAPTIST CHURCH","","","","60","Ground water","8805 SUMMERHILL DR
WAXHAW, NC 28173","","",""
"IMMANUEL LUTHERAN CHURCH","","","","140","Ground water","2070 EMANUEL CHURCH RD
ROCKWELL, NC 28138","704-279-3737","",""
"INDEPENDENCE PENT HOLINESS CH","","","","50","Ground water","5636 Lloyd Road
LUCAMA, NC 27851","","",""
"INDIAN GROVE BAPTIST CHURCH","","","","140","Ground water","149 AUTUMN RIDGE WAY
MOUNT AIRY, NC 27030","","",""
"INDIAN HILL PRESBYTERIAN CH","","","","25","Ground water","12616 PHILEDPHIA CHURCH RD
STANFIELD, NC 28163","704-888-2559","",""
"INDIAN LAKES ESTATE S/D","","","","75","Ground water","PO BOX 1407
PISGAH FOREST, NC 28768","828-884-9772","",""
"INDIAN SPRINGS MHP","","","","76","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"INDIAN VALLEY PARK GOLF COURSE","","","","25","Ground water","PO BOX 1358
BURLINGTON, NC 27216","336-222-5132","",""
"INDUSTRIAL WOOD PRODUCTS/EAST","","","","92","Ground water","PO BOX 206
CLIMAX, NC 27233","336-333-5962","",""
"INGLES SUPERMARKET  NO 110","","","","66","Ground water","466 JACOBS BRANCH ROAD
FRANKLIN, NC 28734","","",""
"INGLEWOOD WATER SYSTEM","","","","150","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"INLET WATCH YACHT CLUB","","","","260","Ground water","801 PAOLI COURT
WILMINGTON, NC 28409","910-392-7106","",""
"INN AT CRESTWOOD","","","","25","Ground water","3236 SHULLS MILL RD
BOONE, NC 28607","828-963-6646","",""
"INN OF THE LAST RESORT","","","","40","Ground water","234 WATCHMAN LN
FRANKLIN, NC 28734","828-524-5741","",""
"INNOSPEC PERFORMANCE CHEMICALS","","","","35","Ground water","500 HINKLE LN
SALISBURY, NC 28144","704-633-8028","",""
"INTERNATIONAL PAPER ADMINISTATIVE SYSTEM","","","","30","Ground water","1785 WEYERHAEUSER RD
ATTN: INTERNATIONAL PAPER- NEW BERN MILL
VANCEBORO, NC 28586","252-633-7633","",""
"INTERNATIONAL PAPER COMPANY","","","","750","Surface water","865 JOHN L REIGEL RD
RIEGELWOOD, NC 28456","910-362-3387","",""
"INTERNATIONAL PAPER- NEW BERN MILL","","","","375","Ground water","1785 WEYERHAEUSER RD
ATTN: INTERNATIONAL PAPER- NEW BERN MILL
VANCEBORO, NC 28586","252-633-7633","",""
